ingles,portugues
to,para
of,de
and,e
a,a
in,em
that,que
for,para
is,é
on,sobre
The,O
with,com
was,era
as,como
be,ser
are,são
said,disse
at,no
it,isto
have,ter
from,de
has,tem
I,EU
will,vai
by,por
he,ele
this,esse
not,não
an,um
his,dele
their,deles
they,eles
or,ou
been,estive
who,Quem
you,você
but,mas
had,tive
were,eram
we,nós
more,mais
also,também
all,todos
can,pode
.”,. ”
her,dela
people,pessoas
on the,no
which,qual
out,fora
about,sobre
one,um
up,acima
when,quando
its,isso é
would,seria
after,depois
new,novo
she,ela
our,nosso
than,que
He,Ele
so,então
other,outro
time,tempo
It,Isto
In,Em
there,lá
into,em
just,apenas
your,seu
like,como
what,o que
them,eles
We,Nós
some,alguns
over,sobre
now,agora
do,fazer
first,primeiro
two,dois
A,A
only,apenas
if,se
being,ser
This,Esse
But,Mas
last,durar
my,meu
no,não
him,ele
year,ano
during,durante
could,poderia
get,pegar
years,anos
any,qualquer
because,porque
before,antes
COVID-19,COVID 19
back,voltar
should,deve
through,através
made,feito
while,enquanto
most,maioria
many,muitos
those,aqueles
where,onde
how,como
government,governo
make,fazer
cases,casos
work,trabalhar
even,até
coronavirus,coronavírus
very,muito
around,em volta
home,lar
going,indo
these,esses
health,saúde
state,estado
know,saber
down,abaixo
way,caminho
They,Eles
As,Como
against,contra
She,Ela
day,dia
me,meu
".""",". """
pandemic,pandemia
such,tal
take,pegar
And,E
well,bem
good,bom
then,então
may,poderia
still,ainda
both,ambos
help,ajuda
says,diz
us,nós
If,Se
three,três
off,desligado
week,semana
need,precisar
public,público
want,querer
did,fez
including,Incluindo
go,ir
think,pensar
per,por
million,milhão
2020,2020
New,Novo
it’s,isso é
since,desde
say,dizer
Trump,Trunfo
part,papel
world,mundo
company,empresa
told,contado
days,dias
life,vida
much,muito
family,família
number,número
same,mesmo
support,apoiar
between,entre
season,temporada
see,ver
country,país
under,sob
social,social
place,lugar
every,todo
next,próximo
the same,o mesmo
really,realmente
right,certo
Friday,Sexta-feira
State,Estado
across,entre
few,alguns
game,jogo
own,ter
media,meios de comunicação
out of,fora de
team,equipe
virus,vírus
There,Lá
police,polícia
set,definir
It’s,Isso é
added,adicionado
come,vir
keep,manter
On,Sobre
That,Que
best,melhor
community,comunidade
too,também
without,sem
another,outro
second,segundo
end,fim
man,homem
put,colocar
You,Você
business,negócios
called,chamado
want to,quer
When,Quando
due,devido
four,quatro
lot,muito
school,escola
President,Presidente
able,capaz
got,pegou
never,nunca
things,coisas
Health,Saúde
according,de acordo com
former,antigo
found,encontrado
look,olhar
reported,relatado
until,até
according to,de acordo com
already,já
as well,também
better,melhorar
case,caso
each,cada
seen,visto
working,trabalhando
However,No entanto
came,veio
long,longo
show,mostrar
times,vezes
2019,2019
So,Então
For,Para
continue,continuar
don’t,não
due to,devido a
a lot,bastante
care,Cuidado
different,diferente
something,algo
students,alunos
announced,anunciado
have to,precisa
here,aqui
order,ordem
to do,pendência
use,usar
Monday,Segunda-feira
need to,preciso
quarter,trimestre
taken,levado
members,membros
past,passado
March,Marchar
election,eleição
information,Informação
staff,funcionários
the world,o mundo
took,pegou
weeks,semanas
County,Condado
I’m,Eu sou
National,Nacional
While,Enquanto
among,entre
local,local
months,meses
president,Presidente
shares,ações
start,começar
U.S.,NÓS.
change,mudar
early,cedo
must,deve
the country,o país
Thursday,Quinta-feira
area,área
asked,perguntado
great,ótimo
hit,bater
together,junto
later,mais tarde
least,ao menos
making,fazendo
others,outros
Saturday,Sábado
find,encontrar
given,dado
having,tendo
high,alto
love,amor
play,jogar
report,relatório
six,seis
the most,a maioria
always,sempre
getting,recebendo
night,noite
top,principal
10,10
Sunday,Domingo
Wednesday,Quarta-feira
again,de novo
away,ausente
didn’t,não
enough,suficiente
give,dar
open,abrir
system,sistema
food,comida
important,importante
left,esquerda
might,poder
money,dinheiro
person,pessoa
positive,positivo
such as,como
used,usado
At,No
City,Cidade
city,cidade
group,grupo
possible,possível
went,foi
Tuesday,Terça-feira
comes,vem
ever,sempre
face,face
it's,isso é
players,jogadoras
call,chamar
event,evento
five,cinco
month,mês
workers,trabalhadores
2018,2018
all the,todos
billion,bilhão
death,morte
little,pequeno
officials,funcionários
started,iniciado
up to,até
why,por que
House,Casa
South,Sul
To,Para
What,O que
With,Com
fans,fãs
hard,duro
online,on-line
plan,plano
several,diversos
to keep,manter
video,vídeo
North,Norte
One,Um
big,grande
doing,fazendo
small,pequeno
stock,estoque
University,Universidade
ago,atrás
along,junto
children,crianças
coming,chegando
does,faz
far,distante
series,Series
spread,espalhar
statement,declaração
taking,tirando
though,no entanto
water,água
United,Unido
further,avançar
hours,horas
near,aproximar
point,apontar